,message,personal
81,Okay... I booked all already... Including the one at bugis.,personal
82,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,personal
83,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,personal
84,Hey we can go jazz power yoga hip hop kb and yogasana,personal
85,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",personal
86,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,personal
87,Wa... U so efficient... Gee... Thanx...,personal
88,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",personal
89,s e best choice den we juz have to take it...,personal
90,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,personal
91,"Until 545 lor... Ya, can go 4 dinner together...",personal
92,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",personal
93,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",personal
94,s shop ?,personal
95,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",personal
96,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",personal
97,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,personal
98,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,personal
99,Hey... What time is your driving on fri? We go for evaluation on fri?,personal
100,m going to be late leh.,personal
101,Hey are we going for the lo lesson or gym?,personal
102,Okay... We wait ah,personal
103,Hey come online! Use msn... We are all there,personal
104,Oh yah... We never cancel leh... Haha,personal
105,K. Did you call me just now ah?,personal
106,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,personal
107,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,personal
108,You want to go?,personal
109,Kay... Since we are out already,personal
110,Haha okay... Today weekend leh...,personal
111,Haha... They cant what... At the most tmr forfeit... haha so how?,personal
112,Hey... Why dont we just go watch x men and have lunch... Haha,personal
113,Haha... Really oh no... How? Then will they deduct your lesson tmr?,personal
114,m only reaching tp mrt,personal
115,m goin to be late,personal
116,Ya! when are ü taking ure practical lessons? I start in june..,personal
117,Hey... Very inconvenient for your sis a not huh?,personal
118,m at amk. Need to drink tea or coffee,personal
119,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,personal
120,s on 21 may. Coz thought wanna go out with jiayin. But she isnt free,personal
121,Haha... dont be angry with yourself... Take it as a practice for the real thing. =),personal
122,Haha... Hope ü can hear the receipt sound... Gd luck!,personal
123,Huh? 6 also cannot? Then only how many mistakes?,personal
124,Nope... Think i will go for it on monday... Sorry i replied so late,personal
125,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,personal
126,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,personal
127,Hey gals.. Anyone of u going down to e driving centre tmr?,personal
128,Ok no prob,personal
129,Nope i waiting in sch 4 daddy...,personal
130,Dunno lei he neva say...,personal
131,Ü called dad oredi...,personal
132,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,personal
133,Dad went out oredi...,personal
134,Ü still attending da talks?,personal
135,Then she buying today? Ü no need to c meh...,personal
136,m free...,personal
137,Nope... C ü then...,personal
138,Is fujitsu s series lifebook good?,personal
139,Is toshiba portege m100 gd?,personal
140,Yun buying... But school got offer 2000 plus only...,personal
141,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",personal
142,Okie... Thanx...,personal
143,How come i din c ü... Yup i cut my hair...,personal
144,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,personal
145,s naughty... Ü so free today? Can go jogging...,personal
146,Ok... C ya...,personal
147,m not drivin... I neva develop da photos lei...,personal
148,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,personal
149,645,personal
150,Ü dun need to pick ur gf?,personal
151,Okie...,personal
152,m at home n ready...,personal
153,Ok...,personal
154,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,personal
155,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,personal
156,Dun need to use dial up juz open da browser n surf...,personal
157,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,personal
158,Can a not?,personal
159,Juz go google n search 4 qet...,personal
160,s hostel?,personal
161,Ok...,personal
162,Huh means computational science... Y they like dat one push here n there...,personal
163,I not at home now lei...,personal
164,Eatin my lunch...,personal
165,Ü takin linear algebra today?,personal
166,Ü bot notes oredi... Cos i juz rem i got...,personal
167,Wah lucky man... Then can save money... Hee...,personal
168,Y so late but i need to go n get da laptop...,personal
169,Where to get those?,personal
170,Then cant get da laptop? My matric card wif ü lei...,personal
171,I dunno they close oredi not... Ü v ma fan...,personal
172,Hi dis is yijue i would be happy to work wif ü all for gek1510...,personal
173,Ü comin to fetch us oredi...,personal
174,Got smaller capacity one? Quite ex...,personal
175,Ok thanx...,personal
176,Wat ü doing now?,personal
177,Got meh... When?,personal
178,m not at home in da aft wat...,personal
179,Mum ask ü to buy food home...,personal
180,Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?,personal
181,s my group mate... Lucky i havent reply... Wat time do ü need to leave...,personal
182,m askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,personal
183,Yup...,personal
184,m stuck in da middle of da row on da right hand side of da lt...,personal
185,Black shirt n blue jeans... I thk i c ü...,personal
186,Not directly behind... Abt 4 rows behind ü...,personal
187,Ü go home liao? Ask dad to pick me up at 6...,personal
188,m done oredi...,personal
189,I wait 4 ü inside da car park...,personal
190,Yup... How ü noe leh...,personal
191,Oic... I saw him too but i tot he din c me... I found a group liao...,personal
192,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,personal
193,How i noe... Did ü specify da domain as nusstu... Ü still in sch...,personal
194,When ü login dat time... Dad fetching ü home now?,personal
195,I come n pick ü up... Come out immediately aft ur lesson...,personal
196,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,personal
197,Ü ready then call me...,personal
198,Ü still got lessons?  Ü in sch?,personal
199,Shall i get my pouch?,personal
200,m on da bus going home...,personal
201,m walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,personal
202,ll take forever to come back...,personal
203,R ü comin back for dinner?,personal
204,Eat at old airport road... But now 630 oredi... Got a lot of pple...,personal
205,Y bishan lei... I tot ü say lavender?,personal
206,Free any day but i finish at 6 on mon n thurs...,personal
207,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",personal
208,But we havent got da topic yet rite?,personal
209,So can collect ur laptop?,personal
210,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,personal
211,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...,personal
212,So ü pay first lar... Then when is da stock comin...,personal
213,s ur pin?,personal
214,Ü collecting ur laptop then going to configure da settings izzit?,personal
215,Cos daddy arranging time c wat time fetch ü mah...,personal
216,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,personal
217,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...,personal
218,m wearing shorts...,personal
219,Huh y lei...,personal
220,m eatin wif my frens now lei... Ü going home first?,personal
221,Havent still waitin as usual... Ü come back sch oredi?,personal
222,No break time one... How... I come out n get my stuff fr ü?,personal
223,Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,personal
224,I dunno lei... Like dun haf...,personal
225,s present ar.,personal
226,Havent shopping now lor i juz arrive only,personal
227,Beauty sleep can help ur pimples too.,personal
228,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,personal
229,s repent how?,personal
230,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,personal
231,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,personal
232,Y ü wan to go there? C doctor?,personal
233,m wif him now buying tix lar...,personal
234,How much r ü willing to pay?,personal
235,m selling it for $50...,personal
236,s at home...,personal
237,Ok... Thanx... Gd nite 2 ü too...,personal
238,Wat uniform? In where get?,personal
239,ve finished c ü there...,personal
240,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...,personal
241,re done...,personal
242,Anything lar...,personal
243,Go where n buy? Juz buy when we get there lar.,personal
244,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,personal
245,Do u noe how 2 send files between 2 computers?,personal
246,I gotta collect da car at 6 lei.,personal
247,2 laptop... I noe infra but too slow lar... I wan fast one,personal
248,Dunno da next show aft 6 is 850. Toa payoh got 650.,personal
249,Tmr timin still da same wat cos i got lesson until 6...,personal
250,Wat time ü wan today?,personal
251,Aiya we discuss later lar... Pick ü up at 4 is it?,personal
252,m in a movie... Collect car oredi...,personal
253,I anything lor...,personal
254,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,personal
255,Ok lor wat time ü finish?,personal
256,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...,personal
257,Ü v ma fan...,personal
258,Ü come lt 25 n pass to me lar,personal
259,Y lei?,personal
260,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,personal
261,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,personal
262,Auntie huai juan never pick up her phone,personal
263,I not free today i haf 2 pick my parents up tonite...,personal
264,Ok..,personal
265,Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar,personal
266,How come?,personal
267,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,personal
268,Oh ok wait 4 me there... My lect havent finish,personal
269,m done...,personal
270,In da car park,personal
271,s sdryb8i,personal
272,Ü thk of wat to eat tonight.,personal
273,Aiyo please ü got time meh.,personal
274,m free...,personal
275,Ok.,personal
276,Anything lor. Juz both of us lor.,personal
277,Ok c ü then.,personal
278,ll be late...,personal
279,Kent vale lor... Ü wait 4 me there ar?,personal
280,Ard 530 lor. I ok then message ü lor.,personal
281,m done. C ü there.,personal
282,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,personal
283,Dunno lei shd b driving lor cos i go sch 1 hr oni.,personal
284,Ü wait 4 me in sch i finish ard 5..,personal
285,Ok can...,personal
286,Ü dun wan to watch infernal affair?,personal
287,Cos darren say ü considering mah so i ask ü...,personal
288,s confirmed... I tot they juz say oni... Ok then...,personal
289,Me n him so funny...,personal
290,Anything lor is she coming?,personal
291,m in town now lei.,personal
292,With my sis lor... We juz watched italian job.,personal
293,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,personal
294,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,personal
295,s ok.,personal
296,Can ü all decide faster cos my sis going home liao..,personal
297,Yup ü not comin :-(,personal
298,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,personal
299,I jokin oni lar.. Ü busy then i wun disturb ü.,personal
300,Ok lor...,personal
301,m in a movie. Call me 4 wat?,personal
302,s meeting?,personal
303,Do ü noe if ben is going?,personal
304,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,personal
305,s ok..,personal
306,s da decision?,personal
307,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,personal
308,Ok i juz receive..,personal
309,I borrow ur bag ok.,personal
310,Can. Dunno wat to get 4 her...,personal
311,Ok. But i finish at 6.,personal
312,ll b going out shopping 4 my frens present.,personal
313,Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,personal
314,ll finish buying?,personal
315,Ok... But bag again..,personal
316,s yijue@hotmail.com,personal
317,ll be in da lab doing some stuff give me a call when ü r done.,personal
318,Anything lar then ü not going home 4 dinner?,personal
319,When can ü come out?,personal
320,I havent lei.. Next mon can?,personal
321,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut?",personal
322,s da one ü cut ur hair.,personal
323,s at paragon... I havent decided whether 2 cut yet... Hee...,personal
324,Ok lor but not too early. Me still having project meeting now.,personal
325,Ard 6 like dat lor.,personal
326,I not busy juz dun wan 2 go so early.. Hee..,personal
327,m not driving today.,personal
328,Doing project w frens lor.,personal
329,m not coming home 4 dinner.,personal
330,Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,personal
331,Ok lor ü reaching then message me.,personal
332,Happy birthday... May all ur dreams come true...,personal
333,s a card on da present lei... How? Ü all want 2 write smth or sign on it?,personal
334,Ü give me some time to walk there.,personal
335,Ü all write or wat..,personal
336,Then ü come n pick me at 530 ar?,personal
337,Thanx 4 sending me home...,personal
338,Is ur lecture over?,personal
339,Sorry me going home first... Daddy come fetch ü later...,personal
340,Okie.. Thanx..,personal
341,Will ü b going to esplanade fr home?,personal
342,We confirm eating at esplanade?,personal
343,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,personal
344,Ü got wat to buy tell us then ü no need to come in again.,personal
345,s da model num of ur phone?,personal
346,Hmm thinking lor...,personal
347,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,personal
348,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,personal
349,Jokin only lar... :-) depends on which phone my father can get lor...,personal
350,No need to buy lunch for me.. I eat maggi mee..,personal
351,I know she called me,personal
352,s da rest of da project going?,personal
353,m doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,personal
354,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,personal
355,s y we haf to combine n c how lor...,personal
356,ll b doing da contents pg n cover pg..,personal
357,m going out 4 dinner soon..,personal
358,s ur email?,personal
359,ve sent ü my part..,personal
360,I emailed yifeng my part oredi.. Can ü get it fr him..,personal
361,No need to ke qi... Ü too bored izzit y suddenly thk of this...,personal
362,TaKe CaRE n gET WeLL sOOn,personal
363,Ü no home work to do meh...,personal
364,Huh so late... Fr dinner?,personal
365,m elaborating on the safety aspects and some other issues..,personal
366,Oic... Then better quickly go bathe n settle down...,personal
367,m hungry buy smth home...,personal
368,But i juz remembered i gotta bathe my dog today..,personal
369,Ok lor thanx... Ü in school?,personal
370,Ok thanx... Take care then...,personal
371,Oops i thk i dun haf enuff... I go check then tell ü..,personal
372,Ü only send me the contents page...,personal
373,Wat time ü finish?,personal
374,But i haf enuff space got like 4 mb...,personal
375,Where r e meeting tmr?,personal
376,Oh ok no prob..,personal
377,Huh i cant thk of more oredi how many pages do we have?,personal
378,Can ü send me a copy of da report?,personal
379,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,personal
380,How abt making some of the pics bigger?,personal
381,ll come online now..,personal
382,How r ü going to send it to me?,personal
383,s clearer..,personal
384,I havent add ü yet right..,personal
385,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..,personal
386,ve finished the formatting...,personal
387,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,personal
388,Ok.. Ü finishing soon?,personal
389,ll be submitting da project tmr rite?,personal
390,Ok lor... But buy wat?,personal
391,Or ü go buy wif him then i meet ü later can?,personal
392,Huh so early.. Then ü having dinner outside izzit?,personal
393,Must come later.. I normally bathe him in da afternoon mah..,personal
394,ll go.,personal
395,ll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),personal
396,Yar but they say got some error.,personal
397,If u dun drive then how i go 2 sch.,personal
398,Yup,personal
399,Anything...,personal
400,Then u drive lor.,personal
401,Ok,personal
402,"Wat time liao, where still got.",personal
403,Gd luck 4 ur exams :-),personal
404,Is ur paper today in e morn or aft?,personal
405,ll b going 2 sch later.,personal
406,Oh ok..,personal
407,In sch but neva mind u eat 1st lor..,personal
408,Call me when u finish then i come n pick u.,personal
409,Hui xin is in da lib.,personal
410,Okie...,personal
411,m in da canteen now.,personal
412,Haf u found him? I feel so stupid da v cam was working.,personal
413,Where r we meeting?,personal
414,I went to ur hon lab but no one is there.,personal
415,ve reached sch already...,personal
416,Can u look 4 me in da lib i got stuff havent finish yet.,personal
417,ve already made changes 2 da previous report.,personal
418,s over.. Dun thk abt it already. Concentrate on ur other papers k.,personal
419,Din i tell u jus now 420,personal
420,I fetch yun or u fetch?,personal
421,All e best 4 ur exam later.,personal
422,s v nice...,personal
423,m coming home now.,personal
424,Who u talking about?,personal
425,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,personal
426,m in e lazy mode today.,personal
427,ve reached already.,personal
428,Yup no more already... Thanx 4 printing n handing it up.,personal
429,Ok,personal
430,ve sent u da latest version of da project.,personal
431,Mine here like all fr china then so noisy.,personal
432,Here got lots of hair dresser fr china.,personal
433,All e best 4 ur driving tmr :-),personal
434,s cutting quite short 4 me leh.,personal
435,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,personal
436,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,personal
437,Thanx...,personal
438,Shant disturb u anymore... Jia you...,personal
439,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,personal
440,ll b going 2 sch on mon. My sis need 2 take smth.,personal
441,m not going liao. Too lazy. Dun wan 2 distract u also.,personal
442,s quite sad.,personal
443,I might go 2 sch. Yar at e salon now v boring.,personal
444,Is ur paper in e morn or aft tmr?,personal
445,Nothing. Can...,personal
446,Shb b ok lor... Thanx...,personal
447,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,personal
448,Really dun bluff me leh... U sleep early too. Nite...,personal
449,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,personal
450,Wif my family booking tour package.,personal
451,s ur paper?,personal
452,re rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,personal
453,My phone,personal
454,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,personal
455,ll go out w u all lor. N u still can act so real.,personal
456,s bad dat all e gals know u... Wat u doing now?,personal
457,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,personal
458,Aiyar sorry lor forgot 2 tell u...,personal
459,m meeting Darren...,personal
460,U coming 2 pick me?,personal
461,Can do lor...,personal
462,s ok lar. U sleep early too... Nite...,personal
463,Nvm take ur time.,personal
464,Okie,personal
465,s ok. Going 2 rain leh where got gd.,personal
466,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",personal
467,Dunno he jus say go lido. Same time 930.,personal
468,U know we watchin at lido?,personal
469,Wat time do u wan 2 meet me later?,personal
470,Now got tv 2 watch meh? U no work today?,personal
471,Then we wait 4 u lor... No need 2 feel bad lar...,personal
472,"Doing nothing, then u not having dinner w us?",personal
473,Ok...,personal
474,Ok i also wan 2 watch e 9 pm show...,personal
475,Sian... Aft meeting supervisor got work 2 do liao... U working now?,personal
476,Quite late lar... Ard 12 anyway i wun b drivin...,personal
477,Ok but tell me half an hr b4 u come i need 2 prepare.,personal
478,Ok...,personal
479,Then ur sis how?,personal
480,Ard 515 like dat. Y?,personal
481,s e road name of ur house?,personal
482,Ok lor...,personal
483,"I wake up long ago already... Dunno, what other thing?",personal
484,We r outside already.,personal
485,Ok...,personal
486,Ok lor...,personal
487,m coming home 4 dinner.,personal
488,Sorry i din lock my keypad.,personal
489,Wat would u like 4 ur birthday?,personal
490,m leaving my house now...,personal
491,Ok i msg u b4 i leave my house.,personal
492,Ok i thk i got it. Then u wan me 2 come now or wat?,personal
493,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,personal
494,Yar... I tot u knew dis would happen long ago already.,personal
495,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,personal
496,Quite lor. But dun tell him wait he get complacent...,personal
497,I dun believe u. I thk u told him.,personal
498,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,personal
499,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,personal
500,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,personal
501,Then she dun believe wat?,personal
502,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,personal
503,s true already. I thk she muz c us tog then she believe.,personal
504,s wat he told me. Ok lor...,personal
505,Orh i tot u say she now still dun believe.,personal
506,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,personal
507,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,personal
508,Watching tv lor. Nice one then i like lor.,personal
509,Then i buy.,personal
510,U buy newspapers already?,personal
511,No objection. My bf not coming.,personal
512,Anything lor if they all go then i go lor...,personal
513,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,personal
514,Enjoy urself tmr...,personal
515,Wat r u doing?,personal
516,s a swatch watch...,personal
517,s jus rite...,personal
518,Ha... U jus ate honey ar? So sweet...,personal
519,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,personal
520,s impossible between us?,personal
521,Okie...,personal
522,Hey happy birthday...,personal
523,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,personal
524,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,personal
525,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,personal
526,m not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,personal
527,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,personal
528,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,personal
529,U still havent got urself a jacket ah?,personal
530,How come u got nothing to do?,personal
531,ll feel guilty...,personal
532,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,personal
533,Ok lar... Joking wif u oni...,personal
534,Okie but i scared u say i fat... Then u dun wan me already...,personal
