,text,target
46,get hep b immunisation nigeria,ham
47,fair enough anything going,ham
48,yeah hopefully tyler could maybe ask around bit,ham
49,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,ham
50,thinked first time saw class,ham
51,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt,ham
52,k fyi x ride early tomorrow morning crashing place tonight,ham
53,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,ham
54,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,spam
55,know mallika sherawat yesterday find lt url gt,ham
56,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,spam
57,sorry call later meeting,ham
58,tell reached,ham
59,yes gauti sehwag odi series,ham
60,gon na pick burger way home even move pain killing,ham
61,ha ha ha good joke girls situation seekers,ham
62,part checking iq,ham
63,sorry roommates took forever ok come,ham
64,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,ham
65,valued customer pleased advise following recent review mob awarded bonus prize call,spam
66,today song dedicated day song u dedicate send ur valuable frnds first rply,ham
67,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj,spam
68,hear new divorce barbie comes ken stuff,spam
69,plane give month end,ham
70,wah lucky man save money hee,ham
71,finished class,ham
72,hi babe im home wan na something xx,ham
73,k k performed,ham
74,u call,ham
75,waiting machan call free,ham
76,thats cool gentleman treat dignity respect,ham
77,like peoples much shy pa,ham
78,operate lt gt,ham
79,still looking job much ta earn,ham
80,sorry call later,ham
81,k call ah,ham
82,ok way home hi hi,ham
83,place man,ham
84,yup next stop,ham
85,call later network urgnt sms,ham
86,real u getting yo need tickets one jacket done already used multis,ham
87,yes started send requests make pain came back back bed double coins factory got ta cash nitros,ham
88,really still tonight babe,ham
89,ela kano il download come wen ur free,ham
90,yeah stand close tho catch something,ham
91,sorry pain ok meet another night spent late afternoon casualty means done stuff moro includes time sheets sorry,ham
92,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,ham
93,please call customer service representative pm guaranteed cash prize,spam
94,havent planning buy later check already lido got show e afternoon u finish work already,ham
95,free ringtone waiting collected simply text password mix verify get usher britney fml,spam
96,watching telugu movie wat abt u,ham
97,see finish loads loans pay,ham
98,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,ham
99,please text anymore nothing else say,ham
100,okay name ur price long legal wen pick u ave x ams xx,ham
101,still looking car buy gone driving test yet,ham
102,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,ham
103,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,ham
104,umma life vava umma love lot dear,ham
105,thanks lot wishes birthday thanks making birthday truly memorable,ham
106,aight hit get cash,ham
107,would ip address test considering computer minecraft server,ham
108,know grumpy old people mom like better lying always one play jokes,ham
109,dont worry guess busy,ham
110,plural noun research,ham
111,going dinner msg,ham
112,ok wif cos like try new things scared u dun like mah cos u said loud,ham
113,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm,spam
114,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,ham
115,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,ham
116,winner u specially selected receive holiday flights inc speak live operator claim p min,spam
117,goodo yes must speak friday egg potato ratio tortilla needed,ham
118,hmm uncle informed paying school directly pls buy food,ham
119,private account statement shows unredeemed bonus points claim call identifier code expires,spam
120,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm,spam
121,new address apples pairs malarky,ham
122,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,spam
123,going sao mu today done,ham
124,predict wat time finish buying,ham
125,good stuff,ham
126,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,ham
127,room,ham
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,ham
129,k k much cost,ham
130,home,ham
131,dear call tmorrow pls accomodate,ham
132,first answer question,ham
133,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone,spam
134,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p,spam
135,haf msn yijue hotmail com,ham
136,call meet,ham
137,check rooms befor activities,ham
138,rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,spam
139,got c lazy type forgot lect saw pouch like v nice,ham
140,k text way,ham
141,sir waiting mail,ham
142,swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni,ham
143,know pls open back,ham
144,yes see ya dot,ham
145,whats staff name taking class us,ham
146,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,spam
147,ummma call check life begin qatar pls pray hard,ham
148,k deleted contact,ham
149,sindu got job birla soft,ham
150,wine flowing nevering,ham
151,yup thk cine better cos need go plaza mah,ham
152,ok ur typical reply,ham
153,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,ham
154,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one,ham
155,aaooooright work,ham
156,leaving house,ham
157,hello love get interview today happy good boy think missing,ham
158,customer service annoncement new years delivery waiting please call arrange delivery,spam
159,winner u specially selected receive cash holiday flights inc speak live operator claim,spam
160,keep safe need miss already envy everyone see real life,ham
161,new car house parents new job hand,ham
162,love excited day spend make happy,ham
163,pls stop bootydelious f inviting friend reply yes see www sms ac u bootydelious stop send stop frnd,spam
164,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu,spam
165,place ur points e cultures module already,ham
166,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs,spam
167,hi frnd best way avoid missunderstding wit beloved one,ham
168,great escape fancy bridge needs lager see tomo,ham
169,yes completely form clark also utter waste,ham
170,sir need axis bank account bank address,ham
171,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,ham
172,time coming later,ham
173,bloody hell cant believe forgot surname mr ill give u clue spanish begins,ham
174,well gon na finish bath good fine night,ham
175,let know got money carlos make call,ham
176,u still going mall,ham
177,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth,ham
178,text doesnt reply let know log,ham
179,hi spoke maneesha v like know satisfied experience reply toll free yes,ham
180,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,ham
181,lol u trust,ham
182,ok gentleman treat dignity respect,ham
183,guys close,ham
184,going nothing great bye,ham
185,hello handsome finding job lazy working towards getting back net mummy boytoy miss,ham
186,haha awesome minute,ham
187,please call customer service representative freephone pm guaranteed cash prize,spam
188,got xmas radio times get,ham
189,jus reached home go bathe first sis using net tell u finishes k,ham
190,unique enough find th august www areyouunique co uk,spam
191,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,ham
192,hi finally completed course,ham
193,stop however suggest stays someone able give ors every stool,ham
194,hope settled new school year wishin gr day,ham
195,gud mrng dear hav nice day,ham
196,u got persons story,ham
197,hamster dead hey tmr meet pm orchard mrt,ham
198,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,ham
199,found enc lt gt,ham
200,sent lt gt bucks,ham
201,hello darlin ive finished college txt u finish u love kate xxx,ham
202,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,ham
203,goodmorning sleeping ga,ham
204,u call alter ok,ham
205,say like dat dun buy ericsson oso oredi lar,ham
206,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,ham
207,aight yo dats straight dogg,ham
208,please give us connection today lt decimal gt refund bill,ham
209,shoot big loads get ready,ham
210,bruv hope great break rewarding semester,ham
211,home always chat,ham
212,k k good study well,ham
213,yup noe leh,ham
214,sounds great home,ham
215,finally match heading towards draw prediction,ham
216,tired slept well past nights,ham
217,easy ah sen got selected means good,ham
218,take exam march,ham
219,yeah think use gt atm register sure anyway help let know sure ready,ham
220,ok prob take ur time,ham
221,os called ubandu run without installing hard disk use os copy important files system give repair shop,ham
222,sorry call later,ham
223,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,ham
224,new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg,spam
225,would really appreciate call need someone talk,ham
226,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,spam
227,hey company elama po mudyadhu,ham
228,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,ham
229,dear good morning,ham
230,get gandhipuram walk cross cut road right side lt gt street road turn first right,ham
231,dear going rubber place,ham
232,sorry battery died yeah,ham
233,yes tv always available work place,ham
234,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight pence,spam
235,printed oh lt gt come upstairs,ham
236,ill little closer like bus stop street,ham
237,wil reach,ham
238,new theory argument wins situation loses person dont argue ur friends kick amp say always correct,ham
239,u secret admirer looking make contact u find r reveal thinks ur special call,spam
240,tomarrow final hearing laptop case cant,ham
241,pleassssssseeeeee tel v avent done sportsx,ham
242,okay shining meant signing sounds better,ham
243,although told u dat baig face watches really like e watch u gave cos fr u thanx everything dat u done today touched,ham
244,u remember old commercial,ham
245,late said website dont slippers,ham
246,asked call ok,ham
247,kallis wont bat nd innings,ham
248,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,ham
249,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age,spam
250,ranjith cal drpd deeraj deepak min hold,ham
251,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,ham
252,,ham
253,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff,ham
254,back lem know ready,ham
255,necessarily expect done get back though headin,ham
256,mmm yummy babe nice jolt suzy,ham
257,lover need,ham
258,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,spam
259,parked next mini coming today think,ham
260,yup,ham
261,anyway going shopping cos sis done yet dun disturb u liao,ham
262,luton ring ur around h,ham
263,hey really horny want chat see naked text hot text charged pm unsubscribe text stop,spam
264,dint come us,ham
265,wana plan trip sometme,ham
266,sure yet still trying get hold,ham
267,ur ringtone service changed free credits go club mobiles com choose content stop txt club stop p wk club po box mk wt,spam
268,evo download flash jealous,ham
269,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,spam
270,come mu sorting narcotics situation,ham
271,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,ham
272,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com,spam
273,usf guess might well take car,ham
274,objection bf coming,ham
275,thanx,ham
276,tell rob mack gf theater,ham
277,awesome see bit,ham
278,sent type food like,ham
279,done handed celebrations full swing yet,ham
280,got called tool,ham
281,wen u miss someone,ham
282,ok asked money far,ham
283,okie,ham
284,yeah think usual guy still passed last night get ahold anybody let know throw,ham
285,k might come tonight class lets early,ham
286,ok,ham
287,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,ham
288,life means lot love life love people life world calls friends call world ge,ham
289,dear shall mail tonite busy street shall update tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense,ham
290,hey told name gautham ah,ham
291,haf u found feel stupid da v cam working,ham
292,oops got bit,ham
293,much buzy,ham
294,accidentally deleted message resend please,ham
295,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfeb c apply,spam
296,unless situation go gurl would appropriate,ham
297,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,ham
298,cant pick phone right pls send message,ham
299,need coffee run tomo believe time week already,ham
300,awesome remember last time got somebody high first time diesel v,ham
301,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,ham
302,oh way food fridge want go meal tonight,ham
303,womdarfull actor,ham
304,sms ac blind date u rodds aberdeen united kingdom check http img sms ac w icmb cktz r blind dates send hide,spam
305,yup remb think book,ham
306,jos ask u wana meet,ham
307,lol yes friendship hanging thread cause u buy stuff,ham
308,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap,spam
309,garage keys bookshelf,ham
310,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,ham
311,think ur smart win week weekly quiz text play cs winnersclub po box uz gbp week,spam
312,says give call friend got money definitely buying end week,ham
313,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost,ham
314,made day great day,ham
315,k k advance happy pongal,ham
316,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,ham
317,really dude friends afraid,ham
318,december mobile mths entitled update latest colour camera mobile free call mobile update co free,spam
319,coffee cake guess,ham
320,merry christmas babe love ya kisses,ham
321,hey dont go watch x men lunch haha,ham
322,cud u tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x,ham
323,would great guild could meet bristol road somewhere get touch weekend plans take flight good week,ham
324,problem,ham
325,calls messages missed calls,ham
326,hi da todays class,ham
327,say good sign well know track record reading women,ham
328,cool text parked,ham
329,reading text sent meant joke read light,ham
330,k k apo k good movie,ham
331,maybe could get book tomo return immediately something,ham
332,call germany pence per minute call fixed line via access number prepayment direct access,spam
333,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,ham
334,valentines day special win quiz take partner trip lifetime send go p msg rcvd custcare,spam
335,ta daaaaa home babe still,ham
336,cool come havent wined dined,ham
337,sleeping surfing,ham
338,sorry call later,ham
339,u calling right call hand phone,ham
340,ok great thanx lot,ham
341,take post come must texts happy reading one wiv hello caroline end favourite bless,ham
342,u hiding stranger,ham
343,interested like,ham
344,sister cleared two round birla soft yesterday,ham
345,gudnite tc practice going,ham
346,dis yijue jus saw ur mail case huiming havent sent u num dis num,ham
347,one small prestige problem,ham
348,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x,spam
349,checking really miss seeing jeremiah great month,ham
350,nah help never iphone,ham
351,car hour half going apeshit,ham
352,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good,ham
353,yo guys ever figure much need alcohol jay trying figure much safely spend weed,ham
354,lt gt ish minutes minutes ago wtf,ham
355,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,ham
356,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age,spam
357,ur cash balance currently pounds maximize ur cash send cash p msg cc hg suite lands row w j hl,spam
358,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,ham
359,hello got st andrews boy long way cold keep posted,ham
360,ha ha cool cool chikku chikku db,ham
361,oh ok prob,ham
362,check audrey status right,ham
363,busy trying finish new year looking forward finally meeting,ham
364,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,ham
365,well know z take care worries,ham
366,update xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd call optout f q,spam
367,discount code rp stop messages reply stop www regalportfolio co uk customer services,spam
368,wat uniform get,ham
369,cool text ready,ham
370,hello boytoy geeee miss already woke wish bed cuddling love,ham
371,spoil bed well,ham
372,going bath msg next lt gt min,ham
373,cant keep talking people sure pay agree price pls tell want really buy much willing pay,ham
374,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services,spam
375,say happen,ham
376,could seen recognise face,ham
377,well lot things happening lindsay new years sighs bars ptbo blue heron something going,ham
378,keep payasam rinu brings,ham
379,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,ham
380,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin,ham
381,yeah sure give couple minutes track wallet,ham
382,hey leave big deal take care,ham
383,hey late ah meet,ham
384,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd call optout n dx,spam
385,took mr owl licks,ham
386,customer place call,ham
387,mm time dont like fun,ham
388,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update stoptxt,spam
389,yup lunch buffet u eat already,ham
390,huh late fr dinner,ham
391,hey sat going intro pilates kickboxing,ham
392,morning ok,ham
393,yes think office lap room think thats last days didnt shut,ham
394,pick bout ish time going,ham
395,performance award calculated every two month current one month period,ham
396,actually sleeping still might u call back text gr rock sis send u text wen wake,ham
397,always putting business put pictures ass facebook one open people ever met would think picture room would hurt make feel violated,ham
398,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,ham
399,hmmm k want change field quickly da wan na get system administrator network administrator,ham
400,free ringtone text first poly text get true tone help st free tones x pw e nd txt stop,spam
401,dear chechi talk,ham
402,hair cream shipped,ham
403,none happening til get though,ham
404,yep great loxahatchee xmas tree burning lt gt starts hour,ham
405,haha get used driving usf man know lot stoners,ham
406,well slightly disastrous class pm fav darlings hope day ok coffee wld good stay late tomorrow time place always,ham
407,hello good week fancy drink something later,ham
408,headin towards busetop,ham
409,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,ham
410,come room point iron plan weekend,ham
411,cos want thing,ham
412,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,ham
413,bring home wendy,ham
414,dating service cal l box sk ch,spam
415,whatsup dont u want sleep,ham
416,alright new goal,ham
417,free entry weekly competition text word win c www txttowin co uk,spam
418,alright head minutes text meet,ham
419,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ads p,spam
420,yes last week taking live call,ham
421,someone contacted dating service entered phone fancy find call landline pobox n tf p,spam
422,siva hostel aha,ham
423,urgent mobile number awarded prize guaranteed call land line claim valid hrs,spam
424,send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply,ham
425,ok ok guess,ham
426,aathi dear,ham
427,pain urination thing else,ham
428,esplanade mind giving lift cos got car today,ham
429,wnt buy bmw car urgently vry urgent hv shortage lt gt lacs source arng dis amt lt gt lacs thats prob,ham
430,home watching tv lor,ham
431,usually take fifteen fucking minutes respond yes question,ham
432,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wc n xx,spam
433,booked ticket pongal,ham
434,available like right around hillsborough amp lt gt th,ham
435,message sent askin lt gt dollars shoul pay lt gt lt gt,ham
436,ask g iouri told story like ten times already,ham
437,long applebees fucking take,ham
438,hi hope u get txt journey hasnt gd mins late think,ham
439,like love arrange,ham
440,yes really great bhaji told kallis best cricketer sachin world tough get,ham
441,supposed wake gt,ham
442,oic saw tot din c found group liao,ham
443,sorry call later,ham
444,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,ham
445,sorry battery died come getting gram place,ham
446,well done blimey exercise yeah kinda remember wot hmm,ham
447,wont get concentration dear know mind everything,ham
448,lol made plans new years,ham
449,min later k,ham
450,hanks lotsly,ham
451,thanks hope good day today,ham
452,k k detail want transfer acc enough,ham
453,ok tell stay yeah tough optimistic things improve month,ham
454,loan purpose homeowners tenants welcome previously refused still help call free text back help,spam
455,si si think ill go make oreo truffles,ham
456,look amy ure beautiful intelligent woman like u lot know u like like worry,ham
457,hope result consistently intelligent kind start asking practicum links keep ears open best ttyl,ham
458,call cost guess isnt bad miss ya need ya want ya love ya,ham
459,going thru different feeling wavering decisions coping individual time heal everything believe,ham
460,u go phone gon na die stay,ham
461,great never better day gives even reasons thank god,ham
462,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july c apply opt available,spam
463,sorry call later ok bye,ham
464,ok way railway,ham
465,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night,ham
466,put stuff roads keep getting slippery,ham
467,going ride bike,ham
468,yup need jus wait e rain stop,ham
469,many company tell language,ham
470,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cw wx ppm,spam
471,long since screamed princess,ham
472,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust ja person sending account details cos,ham
473,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p,spam
474,nice line said broken heart plz cum times infront wise trust u good,ham
475,ok gon na head usf like fifteen minutes,ham
476,love aathi love u lot,ham
477,tension ah machi problem,ham
478,k pick another th done,ham
479,guys getting back g said thinking staying mcr,ham
480,almost see u sec,ham
481,yo carlos friends already asking working weekend,ham
482,watching tv lor,ham
483,thank baby cant wait taste real thing,ham
484,change fb jaykwon thuglyfe falconerf,ham
485,win really side long time,ham
486,free message activate free text messages replying message word free terms conditions visit www com,spam
487,dear reached railway happen,ham
488,depends quality want type sent boye faded glory want ralphs maybe,ham
489,think fixed send test message,ham
490,sorry man account dry would want could trade back half could buy shit credit card,ham
491,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,spam
492,sorry meeting call later,ham
493,class lt gt reunion,ham
494,free call,ham
495,got meh,ham
496,nope think go monday sorry replied late,ham
497,told accenture confirm true,ham
498,kate jackson rec center ish right,ham
499,dear reache room,ham
500,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,ham
501,come,ham
502,check nuerologist,ham
503,lolnice went fish water,ham
504,congratulations week competition draw u prize claim call b cs stop sms ppm,spam
505,waiting e car dat bored wat cos wait outside got nothing home stuff watch tv wat,ham
506,maybe westshore hyde park village place near house,ham
507,know anthony bringing money school fees pay rent stuff like thats need help friend need,ham
508,significance,ham
509,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,ham
510,latest g still scrounge ammo want give new ak try,ham
511,prabha soryda realy frm heart sory,ham
512,lol ok forgiven,ham
513,jst change tat,ham
514,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd,spam
515,competition,ham
516,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt,spam
517,credits topped http www bubbletext com renewal pin tgxxrz,spam
518,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,ham
519,usually person unconscious children adults may behave abnormally call,ham
520,ebay might less elsewhere,ham
521,shall come get pickle,ham
522,gon na go get tacos,ham
523,rude campus,ham
524,urgent mobile awarded bonus caller prize nd attempt contact call box qu,spam
525,hi b ard christmas enjoy n merry x mas,ham
526,today offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x,spam
527,yes pretty lady like single,ham
528,recieve tone within next hrs terms conditions please see channel u teletext pg,spam
529,jay says double faggot,ham
530,private account statement shows un redeemed points call identifier code expires,spam
531,today sunday sunday holiday work,ham
532,gudnite tc practice going,ham
533,late,ham
534,called hoping l r malaria know miss guys miss bani big pls give love especially great day,ham
535,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,ham
536,probably gon na see later tonight lt,ham
537,maybe fat fingers press buttons know,ham
538,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,ham
539,tirupur da started office call,ham
540,www applausestore com monthlysubscription p msg max month csc web age stop txt stop,spam
541,famous quote develop ability listen anything unconditionally without losing temper self confidence means married,ham
542,going college pa else ill come self pa,ham
543,oclock mine bash flat plan,ham
544,girl stay bed girl need recovery time id rather pass fun cooped bed,ham
545,special,ham
546,know need get hotel got invitation apologise cali sweet come english bloke weddin,ham
547,sorry took long omw,ham
548,wait lt gt min,ham
549,ok give minutes think see btw alibi cutting hair whole time,ham
550,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,ham
551,hurry weed deficient like three days,ham
552,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,ham
553,ok every night take warm bath drink cup milk see work magic still need loose weight know,ham
554,look frying pan case cheap book perhaps silly frying pan likely book,ham
555,well uv causes mutations sunscreen like essential thesedays,ham
556,lunch online,ham
557,know friend already told,ham
558,hi princess thank pics pretty,ham
559,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee,ham
560,hi msg office,ham
561,thanx e brownie v nice,ham
562,geeeee love much barely stand,ham
563,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm,spam
564,fuck babe miss already know let send money towards net need want crave,ham
565,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh,ham
566,oooh bed ridden ey thinking,ham
567,anyways go gym whatever love smiles hope ok good day babe miss much already,ham
568,love daddy make scream pleasure going slap ass dick,ham
569,wot u wan na missy,ham
570,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee,ham
571,know lab goggles went,ham
572,open door,ham
573,waiting call,ham
574,nope waiting sch daddy,ham
575,cash prize claim call,spam
576,tired arguing week week want,ham
577,wait sch finish ard,ham
578,mobile number claim calls us back ring claims hot line,spam
579,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite,ham
580,huh early dinner outside izzit,ham
581,ok anyway need change said,ham
582,tried contact reply offer mins textand new video phone call reply free delivery tomorrow,spam
583,ex wife able kids want kids one day,ham
584,scotland hope showing jjc tendencies take care live dream,ham
585,tell u headache want use hour sick time,ham
586,dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den,ham
587,pete please ring meive hardly gotany credit,ham
588,ya srsly better yi tho,ham
589,meeting call later,ham
590,ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk,spam
591,specially selected receive pound award call lines close cost ppm cs apply ag promo,spam
592,private account statement shows un redeemed points call identifier code expires,spam
593,still grand prix,ham
594,met stranger choose friend long world stands friendship never ends lets friends forever gud nitz,ham
595,great,ham
596,gud mrng dear nice day,ham
597,important customer service announcement call freephone,spam
598,exhausted train morning much wine pie sleep well,ham
599,going buy mum present ar,ham
600,mind blastin tsunamis occur rajnikant stopped swimming indian ocean,ham
